"V1","V2","V3","V4","V5","V6","V7","V8"
14.5384588060945,NA,NA,1073.03755694775,NA,NA,NA,NA
13.5463450339005,NA,1.30720552861353,1070.23820002091,0.524521087916809,0.106220900927611,15.4346023764781,0.910206476137823
12.9023063473778,NA,1.50890835161703,1068.78019450302,1.81392031730651,0.235685166312265,28.3423886497713,1.3002155125488
12.1777953589962,NA,1.62437208784861,1072.09025129248,2.74863885914128,0.34910365539174,28.0752306795996,1.194070877463
11.1157728249526,NA,2.51459812898724,1073.67922360866,4.1065826001814,0.593929269712364,27.5855307896901,1.09347404891522
11.1585835380719,NA,1.62512533321395,1078.9697744143,9.43766641660847,0.797894120127316,38.1775180079135,1.3584152105366
9.48991122850954,NA,2.25535147300742,1068.12071440888,6.95468924814237,0.791961719348571,29.0744918769648,1.08923685560809
8.53906214776252,NA,1.90409573333892,1056.96307012254,9.78104728114504,1.21683174574422,34.8874548480443,1.09823343224564
6.79931401339257,NA,1.47280293127836,1059.5378904133,12.284785388372,1.13034213134272,32.1434793964379,1.0063344815345
6.83323749198291,NA,0.793440743562215,1083.89399794413,9.19567035596778,0.631217217723555,27.4440280994076,0.710261860690585
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
6.81328053037705,NA,0.614983902638129,1053.26203148377,14.165026427055,0.755878384132717,29.3346824631997,0.803137833433734
6.32952349839623,NA,0.809741086066785,1083.25259458332,43.1961938669843,0.929825286269698,63.4504830777715,1.11437918912131
5.54319282514731,NA,0.30579559075463,1081.45409652786,16.1094450304459,0.550279118194694,35.6940152085469,0.730469761355038
5.46712965572812,NA,0.587203361262682,1079.68129601852,14.2493993972274,0.583647224741085,34.8790122986456,0.779605940339426
5.05033787499543,NA,0.600861167853538,1063.88701325391,17.7498616598742,0.46258792334398,35.4255311659783,0.65919458439019
4.86906164071765,NA,0.407969584892386,1069.32959423278,11.7672980020569,0.633685644554658,26.3386524464207,0.702019949808947
4.83423593577923,NA,1.20658736197735,1048.92957797558,8.39575319619047,0.495081377714799,22.6692465525412,0.65931214869363
4.7124538820785,NA,1.23535082975325,1066.47356307274,16.6902316362763,0.416253117622339,23.5625516628264,0.568469304919854
4.8133634167288,NA,1.90325865140673,1083.76139888708,37.7960784631895,0.537879072801332,45.6740762348603,0.75431924809568
4.51294493092376,NA,1.72421771624399,1081.85712527007,20.5865491843659,0.514698358698788,34.1853629833974,0.642987126319891
4.96681435224858,NA,6.64790741927867,1092.89302023579,10.4718825321404,0.253969293460395,22.5965671247663,0.282150334180127
