"Prey","Pred1","Pred2"
10,5,3
5.90578155651665,6.06144182585011,3.49950762316767
3.26972904002795,6.2037604830832,3.56509557991699
1.84835616482603,5.75014277703506,3.35498403605067
1.11513848909575,5.05974339422185,3.02865956090457
0.727935787803446,4.33362809054391,2.67564810811322
0.513447673216467,3.65807958388974,2.33641614333207
0.388484032286941,3.06246185142309,2.02676880369112
0.312477095781845,2.55127221598627,1.75126987865329
0.264829675276068,2.11897934388921,1.50955517615809
0.234583847775084,1.75656949498736,1.29921149787202
0.215639735627376,1.45438065131562,1.11709479658664
0.204462481354451,1.20328542291606,0.959936387078312
0.198935108984905,0.995132260779016,0.82461673738978
0.197759603969209,0.822852523783225,0.708280159427234
0.200131290467878,0.680420397083685,0.60837211846144
0.205555111091119,0.562753192129825,0.522638968292989
0.213738502458304,0.465593315344138,0.449110051099411
0.224527153269589,0.385391091128038,0.386072345652772
0.237865608022166,0.31919684382447,0.332042901622862
0.253772741229873,0.26456533720903,0.285741721564486
0.272326415065983,0.219473081882885,0.246066383017299
0.293653987402458,0.182247807870583,0.212068957028748
0.317926668295394,0.151508889039927,0.182935383764865
0.345356496759268,0.126117352552961,0.157967257026657
0.376195171439425,0.105134130257958,0.136565864549565
0.410734251357185,0.0877853147482566,0.118218284172827
0.449306420102382,0.073433320680073,0.102485321578636
0.49228762074663,0.0615529958829257,0.0889910786172548
0.540099943864318,0.0517118638852966,0.077413953781743
0.593215201979802,0.0435538038714816,0.067478893278759
0.652159159384691,0.0367855837540148,0.0589507295491798
0.717516412088604,0.031165756962504,0.0516284624423417
0.789935932149838,0.0264955146810133,0.0453403556893775
0.870137306002175,0.0226111540141582,0.0399397374387219
0.95891770909161,0.0193778804589405,0.0353014082542657
1.05715967009877,0.0166847116070837,0.0313185731319856
1.16583968784617,0.0144402895954669,0.0279002258542551
1.28603777302667,0.012569443715936,0.0249689245190514
1.41894799529636,0.0110103729039741,0.022458906539515
1.56589012401941,0.01,0.0203145000278812
1.72832245779284,0.01,0.0184887965183869
1.90785594329523,0.01,0.0169425577693957
2.10626968707507,0.01,0.0156433373368461
2.32552796308285,0.01,0.0145648063112174
2.56779881153374,0.01,0.0136862829064697
2.8354743069306,0.01,0.0129924787726511
3.13119253795204,0.01,0.0124734930096897
3.45786127799307,0.01,0.0121251111927519
3.81868321300816,0.01,0.0119495067790227
4.21718239927581,0.01,0.0119565054162391
4.65723128817764,0.01,0.012165675215628
5.14307707010306,0.01,0.0126096769963239
5.67936505464354,0.01,0.0133396006690087
6.271154936816,0.01,0.0144335257427252
6.92392234819395,0.01,0.016010463432546
7.64353153766938,0.01,0.018253533347934
8.43615219287874,0.0103952810562712,0.0214494397027121
9.30806743723652,0.0132581688989561,0.0260575677590733
10.2652655785708,0.0177002659648649,0.0328345489950004
11.3125897987554,0.0248446255027124,0.043065906638575
12.4519533236602,0.0368321199159596,0.0590105759895758
13.6785081426029,0.0579329208441567,0.0847794300013319
14.9721899375376,0.0970604921323252,0.128111247729678
16.2786479047198,0.173593424391284,0.203978959206504
17.4664520240277,0.330709392029437,0.341605530346646
18.2388858144402,0.662820828739688,0.595795631950633
18.0071525892816,1.35080040596577,1.05309517872867
15.9603126255191,2.60856615211566,1.78289643137074
11.9491171377449,4.31788451701746,2.66823532184598
7.47298724906042,5.73078398609652,3.34641035808976
4.19898723077754,6.24105717950752,3.58274265794609
2.33475848519857,5.98694185675563,3.46556249484204
1.36642030800924,5.36255514177479,3.17327209978754
0.86252626278153,4.63593338737392,2.82435765754848
0.589283528674655,3.93326364994043,2.47635207335354
0.433355430537002,3.3025320294063,2.15321580886582
0.34009443012983,2.75615059807749,1.86316905923347
0.28226188030136,2.29167408960293,1.60743036297291
0.245650489345674,1.90106001408538,1.3842244606018
0.222497208583716,1.5747088344394,1.19061141284953
0.208375355695367,1.30318485008941,1.023327440314
0.200667647038884,1.07789981539183,0.879169252757184
0.19778303342493,0.89132892232329,0.75516202653085
0.198737945765767,0.737017896624546,0.648622697540177
0.202923573283192,0.60950143428785,0.557172241652391
0.209971958578244,0.504189621256603,0.478723534854066
0.219676588090166,0.417248921775914,0.411458281198747
0.231944112245761,0.345489767685422,0.35379993819822
0.246764447848677,0.286265632828228,0.30438618941059
0.264192085021376,0.237384967178231,0.262042731152433
0.284334439111992,0.19703568381547,0.225759185210137
0.307344773861918,0.163721141722464,0.194667435157165
0.333418191025787,0.136206292738817,0.168022409597112
0.362789753588921,0.113472625495921,0.145185194195098
0.395734156079505,0.0946806184999053,0.125608287128747
0.432566570452545,0.0791385431416697,0.108822786857793
0.473644432769929,0.066276600948285,0.0944272982957867
0.519370025097631,0.055625520382871,0.0820783528932656
0.570193766799167,0.0467988686445469,0.0714821536413664
0.626618170640815,0.0394784498683949,0.0623874740226516
0.689202448550175,0.0334022621672695,0.0545795584498828
0.758567773687962,0.0283545727297978,0.0478748896302529
0.835403222379724,0.0241577439595493,0.0421167050001961
0.920472433137031,0.0206655059124951,0.0371711596451234
1.01462103159998,0.0177574225913719,0.0329240468921323
1.11878488047953,0.0153343434318443,0.0292780000989404
1.23399922291616,0.0133146678820368,0.0261501101848729
1.36140879633652,0.0116312815067425,0.0234699033301293
1.50227900192842,0.0102290475766163,0.0211776322131836
1.65800822212096,0.01,0.019222842405643
1.83014138455677,0.01,0.0175631833931098
2.02038487524633,0.01,0.0161634415136292
2.23062290465663,0.01,0.0149947804066846
2.46293542635516,0.01,0.0140341840650761
2.7196176951518,0.01,0.0132641093560116
3.00320152493121,0.01,0.0126723706007905
3.31647825636605,0.01,0.0122523011613926
3.66252335593861,0.01,0.0120032704037498
4.04472241352418,0.01,0.0119316863580023
4.46679803945401,0.01,0.0120526977531878
4.9328366996368,0.01,0.0123929465720722
5.4473137149273,0.01,0.0129949547890379
6.01511319796947,0.01,0.0139241320633505
6.64153704382158,0.01,0.0152801076587762
7.33229210429629,0.01,0.0172153964979115
8.09343503996092,0.01,0.0199668563438596
8.93123511545085,0.011904612155251,0.0239101036249584
9.85187549151207,0.0155824567561117,0.029656379425913
10.8608285475916,0.0214041446896714,0.0382303243517593
11.9615520588883,0.0309928440167424,0.0514066678667611
13.1527199165611,0.0475244270134637,0.0723677528248186
14.4221817462614,0.0775038860342481,0.107021928450917
15.7334403503005,0.134848796374473,0.16668480406911
16.9950755551982,0.250347974595625,0.273439323048821
17.9943703695116,0.492420421458896,0.469792130956374
18.2789211824971,1.00271103179486,0.829834902932225
17.0851700014249,2.00313092101959,1.44354756165375
13.8142334697968,3.58098505204708,2.29758240043169
9.27691944294208,5.22868285769255,3.11016695898325
5.38563612065745,6.14078727589419,3.53712283038314
2.9776176696932,6.16042500761465,3.54617624722275
1.69739578720196,5.64912854158753,3.30869907562517
1.03656743712919,4.94345697066993,2.97369757606361
0.685237523336077,4.22164803462326,2.62094449825016
0.489020803512084,3.55775564608617,2.28566769375206
0.373841815942942,2.97563702677587,1.98123568329152
0.303381034609592,2.47750023367306,1.71113044385165
0.259063604381353,2.05695670146536,1.47452537021413
0.230933972786808,1.70475962549348,1.26882761815144
0.213412494677167,1.41127951918476,1.09084364377939
0.203247100457314,1.16752663878629,0.937314821216627
0.198481533734318,0.965519788110137,0.805157717244853
0.197913090177628,0.798361046180135,0.691562536598321
0.200795984440642,0.660181992979947,0.594022504180121
0.206673060137541,0.546039111081247,0.51032980192488
0.21527719035279,0.45179498407115,0.438555968016476
0.226471913297895,0.374002214793828,0.377025923605387
0.240214920353175,0.309797355578538,0.324290338959026
0.256535290585601,0.25680740269073,0.279098722913096
0.275519256440756,0.213069103859032,0.240374379097836
0.297301431494847,0.176960259888244,0.207191704964723
0.32205965018555,0.147141764859754,0.178755951425249
0.350012281118134,0.122509013296174,0.154385372806456
0.381417301963963,0.102151344243601,0.133495603487415
0.416572685928146,0.0853183056667149,0.115586057280337
0.455817814681158,0.0713916626795408,0.100228134819316
0.499535739075869,0.0598622166113975,0.0870550294527634
0.54815617945584,0.0503106372392761,0.0757529356345249
0.60215920537756,0.042391632637172,0.0660534810862788
0.662079568335211,0.0358208883828994,0.0577272224889955
0.728511685697624,0.0303643005070345,0.0505780627147401
0.802115292772966,0.0258291056316847,0.044438464865479
0.883621794781593,0.0220565786669391,0.03916535427775
0.97384136288704,0.0189160247454329,0.0346366140550987
1.07367082918362,0.0162998392689522,0.0307480926200843
1.18410244521943,0.0141194493888128,0.0274110533353772
1.30623357756497,0.0123019831767284,0.0245500065825901
1.44127742224642,0.0107875402569414,0.0221008739991387
1.5905748274855,0.01,0.0200094430835982
1.75560732084561,0.01,0.0182300783584887
1.93801144200212,0.01,0.0167246630618959
2.13959448493305,0.01,0.0154617533675502
2.36235175169944,0.01,0.0144159360228287
2.60848541142504,0.01,0.0135673909497819
2.88042503811918,0.01,0.0129016741605119
3.1808498622132,0.01,0.0124097554897705
3.51271270068568,0.01,0.0120883737220776
3.87926540826556,0.01,0.0119408146643273
4.28408548061301,0.01,0.0119782857998827
4.73110307420268,0.01,0.0122221721951843
5.22462706797771,0.01,0.0127076441749236
5.76936765698412,0.01,0.0134894061523797
6.37045091327161,0.01,0.0146509368193187
7.03341693632491,0.01,0.0163195825342724
7.76418593961614,0.01,0.0186917390400597
8.56896230071226,0.010772318180755,0.022075920904016
9.45401746104559,0.013835069083405,0.0269684908186687
10.4252311170376,0.0186121936623113,0.0341908452952834
11.4871358034369,0.0263439853516609,0.0451458079780652
12.6409057631425,0.0394115532202024,0.0623120500260116
13.8800214145059,0.0625989513606761,0.090225375187211
15.1806610783287,0.105962062306707,0.137467108010862
16.4799912586252,0.19148178330569,0.220691906372866
17.6277384787636,0.368182250536035,0.372343902623578
18.2892085354634,0.742138922199853,0.652372073988727
17.8230390190485,1.50829752330288,1.15056418774764
15.4366437535595,2.86201141716684,1.92073339522168
11.2150634683521,4.58521431617925,2.80039713768177
6.85102541626133,5.87589881507933,3.41501101375653
3.82048857501808,6.24118226036532,3.5838286703798
2.13524574049668,5.90349521340072,3.42784871042633
1.26359166926514,5.24943356004969,3.12050142768286
0.807768563770308,4.52092993094761,2.76896002858593
0.558625960910294,3.82776580019143,2.42376633764372
0.415316786318935,3.2101452776299,2.10549491691886
0.329037502093974,2.6771441632068,1.82084019849512
0.275296839804123,2.22499848159843,1.57035621048537
0.241224704100562,1.8452323892974,1.35199545005943
0.219738585772917,1.52819467320995,1.16272575459678
0.206774653137458,1.26455525643814,0.999273953758518
0.19991806854513,1.04588780001587,0.858464553420482
0.197695736321838,0.864840219114192,0.737365753852328
0.199195728609858,0.715121936073026,0.633342033201825
0.20385455573534,0.59141451037514,0.544061235746927
0.21133413786431,0.489255929712726,0.467480018680664
0.221448529267449,0.404922091712817,0.401819790924102
0.234119216427434,0.335316012671077,0.345539382440864
0.249347375535427,0.277868910778595,0.297307631921352
0.267196518485101,0.230454180566116,0.255977466705556
0.287781703013842,0.191313786117235,0.220562182826648
0.311263023959249,0.158995948764759,0.190214166922625
0.337841992272506,0.13230278023922,0.164206053983535
0.367759935784158,0.110246501251957,0.141914188225379
0.401297876327427,0.0920129759812545,0.122804195429913
0.438777537598877,0.0769314256324541,0.106418453965254
0.48056326571036,0.0644493282317579,0.0923652513926133
0.527064727941543,0.0541116514712026,0.0803094242829771
0.578740311431509,0.0455436934469734,0.0699642949583359
0.636101182544561,0.0384369197162418,0.061084737079039
0.699715995633425,0.0325372838094126,0.0534612204767063
0.770216260810911,0.0276356029493862,0.0469147033728424
