day,I_0,k,z1,one_minus_N,z2,one_minus_V,Ph,T,RT,Z,G,dP_dt,lnPt_minus_lnP0,lnPt,Pt,secchi
0.0,0.088,0.121,34.0,1.0,53.0,0.64,0.034,5.2,0.024,1.3,0.01,0.0,0.0,1.217,3.4,14.049586776859504
1.0,0.088,0.121,34.0,1.0,53.0,0.64,0.034,5.2,0.024,1.3,0.01,0.0,0.0,1.217,3.4,14.049586776859504
2.0,0.08830614469773848,0.12096790051752174,34.030658748782415,1.0,53.0722207860974,0.6395417166043643,0.03411455851197824,5.116475751034143,0.023855295488816868,1.2972736062557182,0.010003856071584077,0.00025540695157729316,0.00342139932602464,1.2204150623171284,3.411637575028454,14.053314910212578
3.0,0.08861900232562699,0.12093510172690433,34.049367190140586,1.0,53.1309009475204,0.6390354039980926,0.03422216592205072,5.033059917229311,0.023733446046267415,1.2969888182329503,0.010027131075004692,0.00046158880077860084,0.006242231557203342,1.223228742372241,3.421518727547328,14.057126307620265
4.0,0.08894160337154464,0.12090301305066246,34.057933718285085,1.0,53.176647917895416,0.6385106957682914,0.03432564841457382,4.949915887887342,0.0236315562105684,1.2989148210739,0.010067569219604422,0.0006265229844009905,0.008563463767894994,1.2255424547626004,3.429909689419186,14.060857187137612
5.0,0.08927697832337061,0.12087304391131089,34.05816672742652,1.0,53.21006913084882,0.6379972255020674,0.03442783217390396,4.867207052310071,0.023546730519936585,1.3028207999207713,0.010122914714725845,0.00075818693924153,0.010486063032458484,1.2274576140854692,3.4370766925065928,14.064343421742189
6.0,0.08962815766898405,0.1208466037313643,34.05187461177543,1.0,53.23177202000701,0.637524626786527,0.03453154338439754,4.785096799799337,0.023476073512588708,1.308475939915768,0.010190911769711535,0.0008645581020972865,0.0121109964252527,1.2290756349381107,3.4432859686721122,14.067420577073158
7.0,0.08999817189626408,0.12082510193333748,34.040865765542456,1.0,53.242364018996355,0.6371225332087767,0.034639608230410936,4.703748519656977,0.02341668972674154,1.3156494262010936,0.010269304593904073,0.0009536139097653275,0.013539231020636535,1.2304979319177871,3.44880374977831,14.069923987632443
8.0,0.09039005149308987,0.12080994793974509,34.02694858293815,1.0,53.24245256144327,0.6368205783559231,0.03475485289630058,4.6233256011848285,0.023365683700611827,1.3241104439189524,0.01035583739664603,0.0010333317990427208,0.01487173389296887,1.2318259196217616,3.4538962676877487,14.071688871581074
9.0,0.09080682694734057,0.12080255117310187,34.0119314581731,1.0,53.23264508097413,0.6366483958150725,0.034880103566422835,4.5439914336847265,0.02332015997241632,1.3336281782115476,0.010448254387279988,0.0011116892067265334,0.0162094721166086,1.233161012647297,3.458829754262993,14.07255048416995
10.0,0.09125152874689532,0.12080432105592259,33.99762278545789,1.0,53.213549011215335,0.6366356191733317,0.035018186425134136,4.46590940645851,0.023277223080371782,1.343971814221083,0.01054429977514852,0.0011966635696138328,0.017653412765914617,1.234604625591656,3.463870441366609,14.072344309712546
11.0,0.09172718737963327,0.12081666701072191,33.98583095900311,1.0,53.18577178579326,0.636811882017807,0.035171927656790856,4.389242908808016,0.023233977562694966,1.3549105370897632,0.010641717769594205,0.0012962323245016875,0.019304522915245793,1.236258173052101,3.4692845608611593,14.070906291837474
12.0,0.09223683333343356,0.12084099846001459,33.97836437301936,1.0,53.149920838334296,0.637206817935605,0.035344153445749406,4.3141553300350814,0.023187527957602625,1.3662135319597908,0.010738252579959617,0.001418372908187164,0.021263769638961035,1.2382230696258953,3.4753383446092094,14.068073101551851
13.0,0.09278349709617535,0.12087872482631534,33.97703142171719,1.0,53.106603602464844,0.6378500605138321,0.03553768997636618,4.240810059441541,0.023134978803311515,1.3776499839733702,0.010831648415587336,0.00157106275746733,0.023632120011419226,1.2406007299103012,3.482298024473323,14.063682442403705
14.0,0.09337020915573778,0.1209312555321389,33.983640499307214,1.0,53.05642751181128,0.6387712433395949,0.035755363432997574,4.1693704863292345,0.023073434638038386,1.3889890782727055,0.010919649485819938,0.0017622793091392535,0.026510541106979243,1.243492568502582,3.4904298323160656,14.057573391754003
15.0,0.094,0.121,34.0,1.0,53.0,0.64,0.036,4.1,0.023,1.4,0.011,0.002,0.03,1.247,3.5,14.049586776859504
16.0,0.09467544539647349,0.12108595749732232,34.02740493306079,0.9998244330168224,52.93779154400239,0.6415564662995702,0.03627381060625108,4.032822177778531,0.022912567812035073,1.4105306406543399,0.011071256387596703,0.002289986406619308,0.03418097797626991,1.251203660901978,3.511246112821204,14.039613140422114
17.0,0.09539730223119895,0.12118848667116554,34.06509676797334,0.999685899351892,52.86972479416979,0.6434227869124938,0.03657654515871341,3.967801349080961,0.022812184535470164,1.4207437171623405,0.01113522395858566,0.002629136664657584,0.039052013167295646,1.2561010753165764,3.524291169809803,14.027735197426821
18.0,0.09616587266984948,0.1213065360134983,34.11180358927608,0.9995813815161386,52.79558544419856,0.6455716087303757,0.036907338308870816,3.9048620313462834,0.02270068501625382,1.4308806528074993,0.011194520243069097,0.003012133049547905,0.0445911579160134,1.2616689892540163,3.5392295234294346,14.014084120008452
19.0,0.09698145887809814,0.12143905401628927,34.16625348150745,0.9995078620204924,52.71515918778505,0.6479755786448205,0.03726532470820713,3.8439287420134884,0.02257990410033455,1.4411828708733143,0.011251762771149225,0.0034336578367233483,0.050776464565359405,1.2678841487245178,3.5561555261437374,13.998791523622787
20.0,0.09784436302161793,0.12158498917150705,34.22717452920583,0.9994623233758834,52.62823171862561,0.6506073435474329,0.03764963900820616,3.7849259985215706,0.022451676633660902,1.4518917946432826,0.011309569072928264,0.0038883933016169896,0.057585985458269824,1.2747232997383018,3.5751635304163485,13.981989154944038
21.0,0.09875488726608198,0.12174328997112031,34.29329481690968,0.9994417480932415,52.53458873041657,0.6534395503298179,0.03805941586035175,3.7277783183095203,0.022317837462181397,1.463248847400902,0.011370556678508443,0.004371021719661906,0.0649977729376809,1.2821631883055884,3.5963478887109077,13.963808604180734
22.0,0.09971333377716331,0.1219129049070977,34.36334242915739,0.9994431186834968,52.4340159168543,0.6564448458835803,0.0384937899161277,3.67241021881633,0.022180221431844567,1.4754954524296702,0.011437343117991971,0.004876225366291172,0.0729898793465288,1.2901805604365983,3.6198029534910505,13.944381042314307
23.0,0.10072000472053498,0.12209278247140784,34.436045450487406,0.9994634176575792,52.32629897163514,0.6595958771003247,0.03895189582701788,3.618746217480992,0.022040663388598943,1.4888730330130844,0.011512545921481075,0.005398686516937867,0.08154035702774978,1.2987521621415525,3.6456230772204163,13.923836983550707
24.0,0.10177520226187005,0.12228187115601939,34.510131965438134,0.9994996275264191,52.21122358845542,0.6628652908716558,0.03943286824450608,3.566710831742498,0.02190099817839305,1.5036230124346428,0.011598782619077966,0.005933087447035066,0.09062725832428001,1.3078547394306705,3.673902612362644,13.902306073080698
25.0,0.10287922856684159,0.122479119452901,34.584330058547984,0.9995487308009461,52.08857546101152,0.6662257340891785,0.03993584182007614,3.516228579039841,0.02176306064717543,1.5199868139778427,0.011698670740884874,0.006474110432015848,0.10022863557905573,1.317465038314174,3.7047359113813694,13.879916900069894
26.0,0.10403238580112262,0.12268347585402133,34.6573678143554,0.9996077099920901,51.95814028299977,0.6696498536444975,0.04045995120521189,3.4672239768120123,0.0216286856408946,1.5382058609261813,0.011814827817004011,0.0070164377473132845,0.1103225411350131,1.3275598048022828,3.7382173267402314,13.85679683564555
27.0,0.10523497613038625,0.12289388885134897,34.72797331739879,0.9996735476107819,51.81970374811653,0.6731102964292175,0.04100433105139714,3.4196215424980045,0.021499708005499094,1.558521576563157,0.011949871377537601,0.007554751668360456,0.12088702733508835,1.3381157849052174,3.774441210902868,13.833071895513864
28.0,0.10648730172030552,0.12310930693685262,34.79487465221656,0.9997432261679507,51.673051550058126,0.6765797093349434,0.04156811601011574,3.3733457935368096,0.021377962586937443,1.5811753841722667,0.01210641895258786,0.008083734470590439,0.13190014652221768,1.349109724633199,3.8135019163329176,13.808866626728665
29.0,0.10778966473655345,0.1233286786025009,34.85679990334715,0.9998137281745269,51.51796938252093,0.6800307392532797,0.0421504407328515,3.3283212473674197,0.02126528423115818,1.606408707037008,0.012287088072257013,0.008598068429436306,0.1433399510393373,1.3605183699964472,3.8554937954940174,13.784304018039863
30.0,0.10914236734480313,0.12355095234026246,34.91247715532897,0.9998820361414404,51.35424293920127,0.6834360330758313,0.042750439871088244,3.2844724214288266,0.02116350778410983,1.6344629684408793,0.012494496266647271,0.00909243582033114,0.15518449322938344,1.3723184670051831,3.9005112008498055,13.759505433176725
31.0,0.11054571171072763,0.12377507664210595,34.96063449270045,0.9999451325796217,51.18165791379552,0.6867682376942033,0.043367248076309796,3.2417238331600227,0.02107446809174093,1.6655795916673775,0.01273126106586086,0.009561518918708012,0.16741182543529223,1.3844867616696273,3.9486484848639205,13.734590566366832
32.0,0.112,0.124,35.0,1.0,51.0,0.69,0.044,3.2,0.021,1.7,0.013,0.01,0.18,1.397,4.0,13.709677419354838
33.0,0.11350557870745573,0.12422516508105967,35.02969691399412,1.0,50.80927933597321,0.6931114812839664,0.04464817722432714,3.159232292380456,0.020941386248963592,1.7379423003259045,0.01330275281268645,0.010404038162677098,0.19293004586862067,1.409839161903289,4.054620283539703,13.684827859884205
34.0,0.1150629716445801,0.12445199125298563,35.05042908036161,1.0,50.61040383772219,0.6961129004334081,0.04531264905419739,3.119379492703908,0.02089770115522027,1.7795313339468852,0.013639248101620146,0.010775699797356977,0.20619489839497954,1.42300216287355,4.112404612036777,13.659885895632197
35.0,0.11667274695202086,0.12468239205862493,35.06329549700937,1.0,50.40450586571611,0.6990219907347708,0.045994631725201414,3.0804072363655783,0.020867466929486635,1.8248686257683968,0.01400863667802057,0.011118528117694208,0.21979046953507977,1.436491152301606,4.173208446862989,13.634643769111118
36.0,0.1183354727704257,0.12491828104082464,35.069395161844255,1.0,50.192717780424154,0.7018564854745,0.04669534147292984,3.0422811587606895,0.02084920578247927,1.874055700695894,0.014410069353107199,0.011436066337343382,0.23371267124492442,1.4503082795782793,4.236887249390105,13.608896839081716
37.0,0.12005171724044239,0.12516157174243184,35.06982707277317,1.0,49.976171942315496,0.7046341179390414,0.04741599453297335,3.004966895284464,0.020841439924914763,1.9271940836348305,0.01484269693809951,0.01173185766995908,0.24795741548051667,1.4644556940943934,4.303296480989896,13.582443687255742
38.0,0.12182204850271862,0.12541417770629362,35.06569022770299,1.0,49.75600071185931,0.7073726214148408,0.04815780714092257,2.9684300813321247,0.02084269156750971,1.9843852994906603,0.015305670244216984,0.012009445329195883,0.2625206141978596,1.4789355452407702,4.372291603034128,13.555086283635454
39.0,0.12364703469790217,0.125678012475257,35.05808362454059,1.0,49.53333644952477,0.7100897291883438,0.048921995532368145,2.932636352298893,0.02085148292098069,2.0457308731688393,0.01579814008267909,0.012272372528708372,0.27739817935295624,1.4937499824082334,4.443728076894569,13.526630207767562
40.0,0.1255272439666407,0.1259549895921691,35.04810626119287,1.0,49.309311515781054,0.712803174545996,0.04970977594290075,2.8975513435799933,0.020866336196044295,2.11133232957482,0.016319257264705324,0.012524182482151135,0.29258602290180985,1.5089011549876057,4.517461363942987,13.49688492297484
41.0,0.127463244449582,0.12624702259987694,35.036857135566706,1.0,49.085058271097346,0.715530690774243,0.05052236460811101,2.8631406905706465,0.02088577360341711,2.1812911936140575,0.016868172601515154,0.012768418403178747,0.3080800568004234,1.524391212369709,4.593346925551149,13.465664100356035
42.0,0.12945560428737374,0.12655602504122765,35.025435245568964,1.0,48.86170907594281,0.7182900111595307,0.05136097776358958,2.8293700286660757,0.020908317353815733,2.2557089901920064,0.017444036904328053,0.013008623505445797,0.3238761930048,1.540222303945367,4.671240223090823,13.43278598902105
43.0,0.1315048916206637,0.12688391045906822,35.01493958910654,1.0,48.64039629078664,0.7210988689883047,0.05222683164492711,2.7962049932615027,0.020932489657956743,2.3346872442141207,0.018046000984363517,0.013248341002606865,0.3399703434709429,1.5563965791054026,4.750996717933778,13.398073828662517
44.0,0.1336116745900996,0.12723259239624574,35.00646916408632,1.0,48.42225227609799,0.7239749975470103,0.05312114248771427,2.763611219752151,0.020956812726556733,2.4183274805858552,0.018673215652841003,0.013491114108316531,0.35635842015485514,1.5729161872406379,4.83247187145178,13.361356300165758
45.0,0.13577652133632911,0.12760398439560733,35.00112296841518,1.0,48.208409392346056,0.7269361301220935,0.054045126527541676,2.7315543435332423,0.020979808770332287,2.5067312242126634,0.019324831720980006,0.013740486036229384,0.3730363350125398,1.5897832777418963,4.915521145016598,13.322468009537491
46.0,0.138,0.128,35.0,1.0,48.0,0.73,0.055,2.7,0.021,2.6,0.02,0.014,0.39,1.607,5.0,13.28125
47.0,0.14028209446105105,0.12842211496765563,35.00381909780746,0.9999798818777815,47.79768747010936,0.7331793797399534,0.05598650803609847,2.668953270267816,0.02101621452651869,2.6981356808179946,0.020697707382632238,0.014272586126947534,0.40725254071434214,1.6245725306998895,5.085927211043829,13.237595412816257
