day,I_0,k,z1,one_minus_N,z2,one_minus_V,Ph,T,RT,Z,G,dP_dt,lnPt_minus_lnP0,lnPt,Pt,secchi,Pobs
8,0.09039005149308987,0.12080994793974509,34.02694858293815,1.0,53.0,0.6368205783559231,0.03475485289630058,4.6,0.023365683700611827,1.44,0.01035583739664603,0.0010333317990427208,0.01487173389296887,1.2318259196217616,3.4538962676877487,14.0,2.0
89,0.24318013207504022,0.15509547168699428,32.55947847611073,1.0,35.0,0.9889257342890136,0.11723843697572525,2.7,0.021045462020277315,7.15,0.055321676417393495,0.04087129853805445,1.6276360945038617,2.84445188284785,17.01346667951517,11.0,14.0
114,0.28278802260042835,0.21136609967183131,24.099033755911677,0.97,19.0,0.9970869105242293,0.13103376548103923,4.0,0.02253709194225862,10.0,0.10171024354754346,0.006786429991237144,2.2810637998167302,3.498014250020148,32.73375595291535,8.0,39.5
135,0.306,0.17,31.0,0.93,18.0,1.0,0.132,5.6,0.026,19.15,0.145,-0.039,1.44,2.657,14.2,10.0,15.0
175,0.3256534643605382,0.16963604533097654,32.172397017757305,0.84,10.0,0.9999852086948469,0.1285151739854759,10.9,0.03644350584616893,7.45,0.07137553765448011,0.02069613048482684,1.040663059886936,2.2576628075340355,9.73801686559954,10.0,8.0
256,0.23302075030083672,0.1549274433001012,32.82772516176573,0.59,12.0,0.9999817953247286,0.0676528772648649,16.5,0.05433550938379154,4.6,0.03456330193817117,-0.021245934057097814,0.641307674090298,1.858307673363461,6.372432681046023,11.0,9.5
